日期,管制站,入境 / 出境,香港居民,内地访客,其他访客,总计
2024-01-01,机场,入境,59647,4851,10011,74509
2024-01-01,机场,出境,19330,11546,30575,61451
2024-01-01,高铁西九龙,入境,33351,20492,874,54717
2024-01-01,高铁西九龙,出境,8865,41204,1542,51611
2024-01-01,红磡,入境,0,0,0,0
2024-01-01,红磡,出境,0,0,0,0
2024-01-01,罗湖,入境,85877,14525,539,100941
2024-01-01,罗湖,出境,38418,35087,731,74236
2024-01-01,落马洲支线,入境,62118,18061,318,80497
2024-01-01,落马洲支线,出境,32696,31652,491,64839
2024-01-01,香园围,入境,27986,4866,121,32973
2024-01-01,香园围,出境,15319,4367,62,19748
2024-01-01,港珠澳大桥,入境,46787,7415,4865,59067
2024-01-01,港珠澳大桥,出境,16729,11824,7061,35614
2024-01-01,落马洲,入境,22447,3117,249,25813
2024-01-01,落马洲,出境,9172,27459,617,37248
2024-01-01,文锦渡,入境,1468,431,6,1905
2024-01-01,文锦渡,出境,705,473,2,1180
2024-01-01,沙头角,入境,0,0,0,0
2024-01-01,沙头角,出境,0,0,0,0
2024-01-01,深圳湾,入境,46772,10538,718,58028
2024-01-01,深圳湾,出境,18491,18036,924,37451
2024-01-01,中国客运码头,入境,2661,812,193,3666
2024-01-01,中国客运码头,出境,539,1733,226,2498
2024-01-01,港口管制,入境,0,0,45,45
2024-01-01,港口管制,出境,0,0,16,16
2024-01-01,启德邮轮码头,入境,0,0,0,0
2024-01-01,启德邮轮码头,出境,0,2,1958,1960
2024-01-01,港澳客轮码头,入境,7465,1399,2626,11490
2024-01-01,港澳客轮码头,出境,3391,2074,3225,8690
2024-01-02,机场,入境,47450,6715,13580,67745
2024-01-02,机场,出境,23922,7870,27863,59655
2024-01-02,高铁西九龙,入境,20987,12054,1171,34212
2024-01-02,高铁西九龙,出境,10199,12478,1071,23748
2024-01-02,红磡,入境,0,0,0,0
2024-01-02,红磡,出境,0,0,0,0
2024-01-02,罗湖,入境,62591,11169,651,74411
2024-01-02,罗湖,出境,49425,11812,662,61899
2024-01-02,落马洲支线,入境,47776,11613,315,59704
2024-01-02,落马洲支线,出境,40693,10991,350,52034
2024-01-02,香园围,入境,21339,3795,103,25237
2024-01-02,香园围,出境,18962,2136,70,21168
2024-01-02,港珠澳大桥,入境,20803,4827,4720,30350
2024-01-02,港珠澳大桥,出境,15639,5983,4539,26161
2024-01-02,落马洲,入境,12520,2503,244,15267
2024-01-02,落马洲,出境,7365,3217,372,10954
2024-01-02,文锦渡,入境,1277,364,7,1648
2024-01-02,文锦渡,出境,1153,278,4,1435
2024-01-02,沙头角,入境,0,0,0,0
2024-01-02,沙头角,出境,0,0,0,0
2024-01-02,深圳湾,入境,28607,8672,780,38059
2024-01-02,深圳湾,出境,20679,8453,889,30021
2024-01-02,中国客运码头,入境,992,620,219,1831
2024-01-02,中国客运码头,出境,692,608,277,1577
2024-01-02,港口管制,入境,40,0,16,56
2024-01-02,港口管制,出境,0,1,19,20
2024-01-02,启德邮轮码头,入境,0,0,0,0
2024-01-02,启德邮轮码头,出境,0,0,0,0
2024-01-02,港澳客轮码头,入境,3661,896,2732,7289
2024-01-02,港澳客轮码头,出境,4282,1148,3280,8710
2024-01-03,机场,入境,36822,7505,16242,60569
2024-01-03,机场,出境,24330,6400,22206,52936
2024-01-03,高铁西九龙,入境,13193,12764,1190,27147
2024-01-03,高铁西九龙,出境,10002,10817,1017,21836
2024-01-03,红磡,入境,0,0,0,0
2024-01-03,红磡,出境,0,0,0,0
2024-01-03,罗湖,入境,55448,11294,590,67332
2024-01-03,罗湖,出境,52109,11987,683,64779
