日期,管制站,入境 / 出境,香港居民,内地访客,其他访客,总计
2024-01-01,深圳湾,入境,46772,10538,718,58028
2024-01-02,深圳湾,入境,28607,8672,780,38059
2024-01-03,深圳湾,入境,22857,9138,832,32827
2024-01-04,深圳湾,入境,22524,9205,789,32518
2024-01-05,深圳湾,入境,24589,9884,904,35377
2024-01-06,深圳湾,入境,28539,14958,907,44404
2024-01-07,深圳湾,入境,42981,12587,830,56398
2024-01-08,深圳湾,入境,25886,9926,849,36661
2024-01-09,深圳湾,入境,23213,9994,772,33979
2024-01-10,深圳湾,入境,23661,9793,950,34404
2024-01-11,深圳湾,入境,23095,9812,1198,34105
2024-01-12,深圳湾,入境,25919,11162,1717,38798
2024-01-13,深圳湾,入境,30432,18926,1043,50401
2024-01-14,深圳湾,入境,50993,13847,812,65652
2024-01-15,深圳湾,入境,27015,11907,717,39639
2024-01-16,深圳湾,入境,24846,11241,857,36944
2024-01-17,深圳湾,入境,24560,10979,902,36441
2024-01-18,深圳湾,入境,24431,12264,957,37652
2024-01-19,深圳湾,入境,28442,12491,1217,42150
2024-01-20,深圳湾,入境,33416,21416,1437,56269
2024-01-21,深圳湾,入境,53187,17582,1002,71771
2024-01-22,深圳湾,入境,28317,14301,877,43495
2024-01-23,深圳湾,入境,21239,11273,924,33436
2024-01-24,深圳湾,入境,21554,11766,913,34233
2024-01-25,深圳湾,入境,22556,13420,1113,37089
2024-01-26,深圳湾,入境,26066,15191,1350,42607
2024-01-27,深圳湾,入境,31527,23501,1351,56379
2024-01-28,深圳湾,入境,49573,20382,1103,71058
2024-01-29,深圳湾,入境,27081,15272,923,43276
2024-01-30,深圳湾,入境,24295,13922,1039,39256
2024-01-31,深圳湾,入境,25456,14817,1200,41473
2024-02-01,深圳湾,入境,23996,17261,1264,42521
2024-02-02,深圳湾,入境,25321,17312,1589,44222
2024-02-03,深圳湾,入境,29137,22730,1786,53653
2024-02-04,深圳湾,入境,37587,18481,1412,57480
